SIDO_NM,CCG_NM,LAWD_CD,LON,LAT,N_STORES
강원특별자치도,강릉시,51150,128.8895783830081,37.77553848848321,16699
강원특별자치도,고성군,51820,128.49792812181164,38.34847744514887,2631
강원특별자치도,동해시,51170,129.11070957498964,37.51800018438731,5957
강원특별자치도,삼척시,51230,129.18195586530416,37.372464120961496,4260
강원특별자치도,속초시,51210,128.58358431243389,38.197316155524724,7349
강원특별자치도,양구군,51800,127.99850845877133,38.12176786311594,1438
강원특별자치도,양양군,51830,128.64894691611093,38.05680801234657,3157
강원특별자치도,영월군,51750,128.4431576338644,37.203007762401825,2811
강원특별자치도,원주시,51130,127.93888364619511,37.33953125549096,22917
강원특별자치도,인제군,51810,128.23211513056262,38.06750927974302,2926
강원특별자치도,정선군,51770,128.752587017942,37.31948990681075,3009
강원특별자치도,철원군,51780,127.29895212587745,38.19885197703267,2878
강원특별자치도,춘천시,51110,127.73126810102566,37.869961097418894,17984
강원특별자치도,태백시,51190,128.99064810522978,37.15917837662221,2700
강원특별자치도,평창군,51760,128.4894057580481,37.56576566818719,3845
강원특별자치도,홍천군,51720,127.88889754118523,37.69663959697398,4942
강원특별자치도,화천군,51790,127.65357257873008,38.09947470901215,1637
강원특별자치도,횡성군,51730,128.05399443402283,37.49417531337052,3066
경기도,가평군,41820,127.45354147255547,37.782922373520876,6570
경기도,고양시 덕양구,41281,126.86291728168565,37.640158275459974,21412
경기도,고양시 일산동구,41285,126.78466629858353,37.66515819627416,17539
경기도,고양시 일산서구,41287,126.75495228831258,37.68058427581495,11636
경기도,과천시,41290,126.99526026959079,37.42963774948757,2931
경기도,광명시,41210,126.87097908415973,37.45721383556326,12547
경기도,광주시,41610,127.25824450149013,37.39000281680711,16717
경기도,구리시,41310,127.1350920580771,37.608263175796644,11452
경기도,군포시,41410,126.93796083799947,37.35576173789972,10235
경기도,김포시,41570,126.66475558539962,37.64182060222137,25160
경기도,남양주시,41360,127.19755870473841,37.65058441815649,33692
경기도,동두천시,41250,127.0567494515901,37.90234125002425,4623
경기도,부천시 소사구,41194,126.79463390555354,37.4774742192342,8591
경기도,부천시 오정구,41196,126.798226851037,37.52340274057773,5842
경기도,부천시 원미구,41192,126.77267377701266,37.49771193961838,23287
경기도,성남시 분당구,41135,127.11579048033413,37.38079264028405,24195
경기도,성남시 수정구,41131,127.13513149397821,37.448429921459365,11772
경기도,성남시 중원구,41133,127.15128368693682,37.43679730212038,10359
경기도,수원시 권선구,41113,126.99288965471658,37.26018180743647,14731
경기도,수원시 영통구,41117,127.05758625770946,37.26778246816953,17094
경기도,수원시 장안구,41111,126.998488243304,37.29857317692607,10924
경기도,수원시 팔달구,41115,127.01791470511388,37.27362845587852,14739
경기도,시흥시,41390,126.76514028996274,37.38193987007733,25119
경기도,안산시 단원구,41273,126.79622177117713,37.31538239151364,21172
경기도,안산시 상록구,41271,126.85850349145885,37.30735387509704,13317
경기도,안성시,41550,127.25529447362729,37.019584525614945,10808
경기도,안양시 동안구,41173,126.95978308709493,37.39125090288165,17712
경기도,안양시 만안구,41171,126.919695740066,37.39982500095662,10493
경기도,양주시,41630,127.04891904000404,37.81456795768967,12820
경기도,양평군,41830,127.5053228638114,37.511991431406024,8071
경기도,여주시,41670,127.61487024733772,37.28922821200142,7015
경기도,연천군,41800,127.05588168112233,38.04673404977036,2690
경기도,오산시,41370,127.06206305521754,37.15775482604182,11437
경기도,용인시 기흥구,41463,127.11721388960873,37.274879690982324,18634
경기도,용인시 수지구,41465,127.09252155616919,37.3231623606614,12745
경기도,용인시 처인구,41461,127.2260597781735,37.2345512702389,14930
경기도,의왕시,41430,126.97559362294129,37.3635966299575,5252
경기도,의정부시,41150,127.06056748079081,37.74015527631853,20888
경기도,이천시,41500,127.45874286728902,37.25648969063308,12326
경기도,파주시,41480,126.76593682901664,37.76448236928449,24595
경기도,평택시,41220,127.04587263696084,37.01978959473432,33131
경기도,포천시,41650,127.20776854140453,37.893918402744696,10424
경기도,하남시,41450,127.19387387899567,37.54738172450883,16977
경기도,화성시 동탄구,41597,127.09165955827488,37.19734863863827,18237
경기도,화성시 만세구,41591,126.84323300132361,37.157651723822646,15135
경기도,화성시 병점구,41595,127.03866056111107,37.21416990018463,6374
경기도,화성시 효행구,41593,126.95380017120392,37.20881564525624,6330
경상남도,거제시,48310,128.64778798057145,34.88263035369535,12669
경상남도,거창군,48880,127.9121922833611,35.6975238450767,3378
