상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명
M1,과학·기술,M104,회계·세무,M10499,기타 회계 관련 서비스업
M1,과학·기술,M104,회계·세무,M10402,세무사
P1,교육,P107,교육 지원,P10701,교육컨설팅업
P1,교육,P107,교육 지원,P10799,기타 교육지원 서비스업
P1,교육,P106,기타 교육,P10629,그 외 기타 교육기관
P1,교육,P106,기타 교육,P10625,기타 기술/직업 훈련학원
P1,교육,P106,기타 교육,P10613,기타 예술/스포츠 교육기관
P1,교육,P106,기타 교육,P10605,레크리에이션 교육기관
P1,교육,P106,기타 교육,P10611,미술학원
P1,교육,P106,기타 교육,P10619,사회교육시설
P1,교육,P106,기타 교육,P10615,외국어학원
P1,교육,P106,기타 교육,P10603,요가/필라테스 학원
P1,교육,P106,기타 교육,P10623,운전학원
P1,교육,P106,기타 교육,P10609,음악학원
P1,교육,P106,기타 교육,P10617,전문자격/고시학원
P1,교육,P106,기타 교육,P10621,직원 훈련기관
P1,교육,P106,기타 교육,P10607,청소년 수련시설
P1,교육,P106,기타 교육,P10627,컴퓨터 학원
P1,교육,P106,기타 교육,P10601,태권도/무술학원
P1,교육,P105,일반 교육,P10501,입시·교과학원
Q1,보건의료,Q104,기타 보건,Q10402,유사 의료업
Q1,보건의료,Q101,병원,Q10105,요양병원
Q1,보건의료,Q101,병원,Q10102,일반병원
Q1,보건의료,Q101,병원,Q10101,종합병원
Q1,보건의료,Q101,병원,Q10103,치과병원
Q1,보건의료,Q101,병원,Q10104,한방병원
Q1,보건의료,Q102,의원,Q10209,기타 의원
Q1,보건의료,Q102,의원,Q10201,내과/소아과 의원
Q1,보건의료,Q102,의원,Q10212,방사선 진단/병리 검사 의원
Q1,보건의료,Q102,의원,Q10207,산부인과 의원
Q1,보건의료,Q102,의원,Q10208,성형외과 의원
Q1,보건의료,Q102,의원,Q10203,신경/정신과 의원
Q1,보건의료,Q102,의원,Q10205,안과 의원
Q1,보건의료,Q102,의원,Q10202,외과 의원
Q1,보건의료,Q102,의원,Q10206,이비인후과 의원
Q1,보건의료,Q102,의원,Q10210,치과의원
Q1,보건의료,Q102,의원,Q10204,피부/비뇨기과 의원
Q1,보건의료,Q102,의원,Q10211,한의원
L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업
G2,소매,G211,가구 소매,G21101,가구 소매업
G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업
G2,소매,G208,가전·통신 소매,G20801,컴퓨터/소프트웨어 소매업
G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업
G2,소매,G221,기타 상품 소매,G22199,그 외 기타 상품 전문 소매업
G2,소매,G212,기타 생활용품 소매,G21203,악기 소매업
G2,소매,G212,기타 생활용품 소매,G21201,전기용품/조명장치 소매업
G2,소매,G212,기타 생활용품 소매,G21202,주방/가정용품 소매업
G2,소매,G207,담배 소매,G20701,담배/전자담배 소매업
G2,소매,G203,모터사이클 소매,G20301,모터사이클 및 부품 소매업
G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업
G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업
G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업
G2,소매,G209,섬유·의복·신발 소매,G20901,남성 의류 소매업
G2,소매,G209,섬유·의복·신발 소매,G20910,신발 소매업
G2,소매,G209,섬유·의복·신발 소매,G20909,실/섬유제품 소매업
G2,소매,G209,섬유·의복·신발 소매,G20907,액세서리/잡화 소매업
G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업
G2,소매,G209,섬유·의복·신발 소매,G20903,유아용 의류 소매업
G2,소매,G209,섬유·의복·신발 소매,G20906,침구류/커튼 소매업
G2,소매,G209,섬유·의복·신발 소매,G20904,한복 소매업
G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업
G2,소매,G205,식료품 소매,G20502,가축 사료 소매업
G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업
G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업
G2,소매,G205,식료품 소매,G20501,곡물/곡분 소매업
G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업
G2,소매,G205,식료품 소매,G20505,수산물 소매업
G2,소매,G205,식료품 소매,G20507,아이스크림 할인점
G2,소매,G205,식료품 소매,G20503,정육점
G2,소매,G205,식료품 소매,G20506,채소/과일 소매업
G2,소매,G219,식물 소매,G21901,꽃집
G2,소매,G216,안경·정밀기기 소매,G21601,사무기기 소매업
G2,소매,G216,안경·정밀기기 소매,G21603,사진기/기타 광학기기 소매업
G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업
G2,소매,G220,애완동물·용품 소매,G22001,애완동물/애완용품 소매업
G2,소매,G214,연료 소매,G21402,가스 충전소
G2,소매,G214,연료 소매,G21403,가정용 연료 소매업
G2,소매,G214,연료 소매,G21401,주유소
G2,소매,G213,오락용품 소매,G21302,문구/회화용품 소매업
G2,소매,G213,오락용품 소매,G21301,서점
G2,소매,G213,오락용품 소매,G21304,운동용품 소매업
G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업
G2,소매,G213,오락용품 소매,G21305,자전거 소매업
G2,소매,G213,오락용품 소매,G21306,장난감 소매업
G2,소매,G206,음료 소매,G20603,생수/음료 소매업
G2,소매,G206,음료 소매,G20601,얼음 소매업
G2,소매,G206,음료 소매,G20604,우유 소매업
G2,소매,G206,음료 소매,G20602,주류 소매업
G2,소매,G215,의약·화장품 소매,G21501,약국
G2,소매,G215,의약·화장품 소매,G21502,의료기기 소매업
G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업
G2,소매,G202,자동차 부품 소매,G20202,자동차 부품 소매업
G2,소매,G202,자동차 부품 소매,G20201,타이어 소매업
G2,소매,G218,장식품 소매,G21802,기념품점
G2,소매,G218,장식품 소매,G21801,예술품 소매업
G2,소매,G204,종합 소매,G20499,그 외 기타 종합 소매업
G2,소매,G204,종합 소매,G20404,슈퍼마켓
G2,소매,G204,종합 소매,G20405,편의점
G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업
G2,소매,G210,철물·건설자재 소매,G21003,건설/건축자재 소매업
G2,소매,G210,철물·건설자재 소매,G21099,기타 건설/건축자재 소매업
G2,소매,G210,철물·건설자재 소매,G21002,벽지/장판/마루 소매업
G2,소매,G210,철물·건설자재 소매,G21001,철물/공구 소매업
S2,수리·개인,S205,가전제품 수리,S20501,가전제품 수리업
S2,수리·개인,S206,기타 가정용품 수리,S20602,가죽/가방/신발 수선업
S2,수리·개인,S206,기타 가정용품 수리,S20699,그 외 기타 개인/가정용품 수리업
S2,수리·개인,S206,기타 가정용품 수리,S20603,시계/귀금속/악기 수리업
S2,수리·개인,S206,기타 가정용품 수리,S20601,의류/이불 수선업
S2,수리·개인,S211,기타 개인,S21105,결혼 상담 서비스업
S2,수리·개인,S211,기타 개인,S21101,예식장업
S2,수리·개인,S204,모터사이클 수리,S20401,모터사이클 수리업
S2,수리·개인,S209,세탁,S20901,세탁소
S2,수리·개인,S209,세탁,S20902,셀프 빨래방
S2,수리·개인,S208,욕탕·신체관리,S20802,마사지/안마
S2,수리·개인,S208,욕탕·신체관리,S20801,목욕탕/사우나
S2,수리·개인,S208,욕탕·신체관리,S20803,체형/비만 관리
S2,수리·개인,S207,이용·미용,S20703,네일숍
S2,수리·개인,S207,이용·미용,S20701,미용실
S2,수리·개인,S207,이용·미용,S20702,피부 관리실
S2,수리·개인,S203,자동차 수리·세차,S20302,자동차 세차장
S2,수리·개인,S203,자동차 수리·세차,S20301,자동차 정비소
S2,수리·개인,S210,장례식장 ,S21001,장례식장
S2,수리·개인,S210,장례식장 ,S21002,화장터/묘지/납골당
S2,수리·개인,S201,컴퓨터 수리,S20101,컴퓨터/노트북/프린터 수리업
S2,수리·개인,S202,통신장비 수리,S20201,핸드폰/통신장비 수리업
I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업
I1,숙박,I102,기타 숙박,I10201,기숙사/고시원
I1,숙박,I101,일반 숙박,I10102,여관/모텔
I1,숙박,I101,일반 숙박,I10104,캠핑/글램핑
I1,숙박,I101,일반 숙박,I10103,펜션
I1,숙박,I101,일반 숙박,I10101,호텔/리조트
N1,시설관리·임대,N110,가정용품 대여,N11099,기타 개인/가정용품 대여업
N1,시설관리·임대,N110,가정용품 대여,N11003,만화방
N1,시설관리·임대,N110,가정용품 대여,N11001,스포츠/레크리에이션 용품 대여업
N1,시설관리·임대,N110,가정용품 대여,N11002,음반/비디오물 대여업
N1,시설관리·임대,N110,가정용품 대여,N11004,의류 대여업
N1,시설관리·임대,N104,고용 알선,N10401,고용 알선업
